team,logo_url
Abilene Christian,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Air Force,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
Akron,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Alabama A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Alabama State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Alcorn State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
App State,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona State,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arkansas,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Arkansas State,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Arkansas-Pine Bluff,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Army,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png
Auburn,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Austin Peay,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
BYU,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png
Ball State,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
Baylor,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Bethune-Cookman,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Boise State,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Boston College,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Bowling Green,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png
Bryant,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Bucknell,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Buffalo,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
Cal Poly,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
California,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Campbell,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Central Arkansas,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Central Connecticut,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Central Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
Charleston Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Charlotte,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
Chattanooga,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Cincinnati,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
Clemson,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Coastal Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png
Colgate,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Colorado,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Colorado State,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png
Delaware,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png
Delaware State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Duke,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Duquesne,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
East Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/151.png
East Tennessee State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
East Texas A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Eastern Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Eastern Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Eastern Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
Eastern Washington,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Elon,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Florida A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Florida Atlantic,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
Florida International,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
Florida State,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Fordham,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Fresno State,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png
Furman,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Gardner-Webb,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Georgia,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png
Georgia Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png
Georgia State,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
Georgia Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png
Grambling,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Hawai'i,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Holy Cross,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Houston,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Houston Christian,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Howard,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Idaho,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Idaho State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Illinois State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Incarnate Word,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Indiana,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Indiana State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Iowa,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Iowa State,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png
Jackson State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Jacksonville State,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png
James Madison,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png
Kansas,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Kansas State,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
Kennesaw State,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png
Kent State,https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
LSU,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png
Lafayette,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Lamar,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Liberty,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
Lindenwood,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Long Island University,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Louisiana,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png
Louisiana Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
Louisville,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png
Maine,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Marshall,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png
Maryland,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png
Massachusetts,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png
McNeese,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Memphis,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png
Mercer,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Merrimack,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Miami,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
Miami (OH),https://a.espncdn.com/i/teamlogos/ncaa/500/193.png
Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Michigan State,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png
Middle Tennessee,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png
Minnesota,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png
Mississippi State,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png
Missouri,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png
Missouri State,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png
Monmouth,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Montana State,https://a.espncdn.com/i/teamlogos/ncaa/500/149.png
Morgan State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Murray State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
NC State,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png
Navy,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
Nebraska,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png
Nevada,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
New Hampshire,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
New Mexico,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png
New Mexico State,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png
Nicholls,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Norfolk State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
North Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
North Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
North Carolina A&T,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
North Carolina Central,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
North Dakota,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png
North Texas,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png
Northern Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Northern Colorado,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Northern Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png
Northern Iowa,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Northwestern,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png
Northwestern State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Notre Dame,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png
Ohio,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png
Ohio State,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png
Oklahoma,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png
Oklahoma State,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png
Old Dominion,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png
Ole Miss,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png
Oregon,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
Oregon State,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png
Penn State,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png
Pittsburgh,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png
Portland State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Prairie View A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Purdue,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
Rhode Island,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Rice,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png
Richmond,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Robert Morris,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Rutgers,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png
SE Louisiana,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
SMU,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
Sacramento State,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png
Sam Houston,https://a.espncdn.com/i/teamlogos/ncaa/500/2929.png
Samford,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
San Diego State,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png
San José State,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png
South Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png
South Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
South Carolina State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
South Dakota,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
South Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png
Southeast Missouri State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Southern Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Southern Miss,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
St. Francis (PA),https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Stanford,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png
Stephen F. Austin,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Stony Brook,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Syracuse,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png
TCU,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png
Tarleton State,https://a.espncdn.com/i/teamlogos/ncaa/500/2913.png
Temple,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png
Tennessee,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
Tennessee Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Texas,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png
Texas A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png
Texas Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Texas State,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png
Texas Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
The Citadel,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Toledo,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png
Towson,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Troy,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png
Tulane,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
Tulsa,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png
UAB,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png
UAlbany,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
UC Davis,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
UCF,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png
UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
UL Monroe,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
UNLV,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
USC,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png
UT Martin,https://a.espncdn.com/i/teamlogos/ncaa/500/2630.png
UTEP,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
UTSA,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
Utah,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png
Utah State,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png
VMI,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Vanderbilt,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png
Villanova,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Virginia,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png
Virginia Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png
Wagner,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Wake Forest,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png
Washington,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png
Washington State,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png
Weber State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
West Virginia,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png
Western Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Western Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Western Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png
Western Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png
William & Mary,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Wisconsin,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png
Wofford,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Wyoming,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png
Youngstown State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
